,_415nm,_445nm,_480nm,_515nm,_555nm,_560nm,_585nm,_590nm,_610nm,_630nm,_645nm,_680nm,_705nm,_730nm,_760nm,_810nm,_860nm,_900nm,_940nm
Min,-0.884020863,-2.252050255,-1.49545449,-1.27932543,-1.438227126,-1.457438054,-1.237667654,-0.900039757,-0.841091967,-0.417551212,0.145631526,0.338439992,0.124451863,0.471894675,0.838126057,0.910133981,1.184002069,0.420963288,0.427897617
Max,-0.153499593,-1.15570179,-0.917722713,-0.782766727,-0.851717604,-0.779416055,-0.194267048,-0.349283512,-0.00655112,0.599143703,1.407927942,1.175315408,1.074416301,0.810022794,1.392187723,1.528754305,2.201507786,0.956830541,1.185308824
